DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
11.1,1,108.9,84.5,116.9,112.2,133.3,5.9,5.9,0.6,0.6,117447,1.3,199111,5.9,0.6,1,好景気
0,0,107.4,82.8,113.4,108.5,131.7,3.7,3.7,-1.7,1.7,116410,1.3,199112,3.7,1.7,0,不景気
22.2,0,106.5,82.6,115.8,105.6,125.9,5.7,5.7,-1.5,1.5,114520,1.3,19921,5.7,1.5,0,不景気
5.6,0,106.1,82.3,115.1,104.1,128.5,5.9,5.9,-0.9,0.9,112630,1.2,19922,5.9,0.9,0,不景気
5.6,0,104.4,80.9,113.4,102.3,127.1,0.9,0.9,-2.1,2.1,110740,1.2,19923,0.9,2.1,0,不景気
0,0,104.1,80.6,110.4,100.4,124.3,3.6,3.6,-1.6,1.6,105854,1.1,19924,3.6,1.6,0,不景気
0,0,101.6,79.4,107.4,99.3,121.4,2.1,2.1,-6.6,6.6,100969,1.1,19925,2.1,6.6,0,不景気
27.8,1,103.9,81.4,108.3,97.8,123.2,1.7,1.7,-2.1,2.1,96083,1.1,19926,1.7,2.1,1,好景気
11.1,0,103.5,81.3,107,96.8,123.2,0.6,0.6,-5.6,5.6,95288,1.1,19927,0.6,5.6,0,不景気
11.1,0,100.3,78.5,103,95,119.3,-0.6,0.6,-5.7,5.7,94492,1.1,19928,0.6,5.7,0,不景気
33.3,1,104.4,81.3,111.7,94.1,127,0.1,0.1,-3.9,3.9,93697,1,19929,0.1,3.9,1,好景気
0,0,101,78.6,102.8,94.1,121.4,-1.9,1.9,-5.8,5.8,91148,1,199210,1.9,5.8,0,不景気
0,0,99.6,78.1,102.6,92.3,116.7,-3.4,3.4,-8.5,8.5,88599,1,199211,3.4,8.5,0,不景気
0,0,99,78,103.1,91.1,116.2,-1.9,1.9,-7.5,7.5,86050,0.9,199212,1.9,7.5,0,不景気
33.3,1,100.8,79.4,111.4,91.5,119.6,-2.7,2.7,-8.4,8.4,87781,0.9,19931,2.7,8.4,1,好景気
77.8,1,101.9,79.6,106.6,90.5,120.8,-2.7,2.7,-6.1,6.1,89511,0.9,19932,2.7,6.1,1,好景気
55.6,0,97.8,77.5,104.5,89.1,117.5,-0.6,0.6,-3.2,3.2,91242,0.9,19933,0.6,3.2,0,不景気
22.2,1,99.6,78.5,104.8,86.9,117.3,-2.3,2.3,-4.4,4.4,89589,0.8,19934,2.3,4.4,1,好景気
22.2,1,100.9,80.3,106.7,87.4,115.4,-2.8,2.8,-6.9,6.9,87935,0.8,19935,2.8,6.9,1,好景気
